,zid,Longitude,Latitude ,Hover
2,52,37.65074474886824,55.57903173281159,ЮАО<br>Муниципальный округ<br>Бирюлёво Западное
3,152,37.46021911667686,55.80818446117901,СЗАО<br>Муниципальный округ<br>Щукино
4,161,37.51593526486057,55.5342073578658,ЮЗАО<br>Муниципальный округ<br>Южное Бутово
5,170,37.61928809112101,55.6644059404079,ЮАО<br>Муниципальный округ<br>Нагорный
7,293,37.41256792049494,55.71833080498576,ЗАО<br>Муниципальный округ<br>Можайский
8,379,37.42844102959729,55.74079845102978,ЗАО<br>Муниципальный округ<br>Кунцево
9,462,37.55556630957884,55.55665384335954,ЮЗАО<br>Муниципальный округ<br>Южное Бутово
10,463,37.49217473515412,55.53869975955162,ЮЗАО<br>Муниципальный округ<br>Южное Бутово
11,575,37.58770452229408,55.75426237490753,ЦАО<br>Муниципальный округ<br>Арбат
12,600,37.42042453052963,55.76774226294174,ЗАО<br>Муниципальный округ<br>Крылатское
13,735,37.48425215958098,55.54319060966473,Новомосковский<br>Поселение<br>Сосенское
14,771,37.68319280930256,55.73619126094637,ЦАО<br>Муниципальный округ<br>Таганский
16,817,37.62790886262015,55.87100394485226,СВАО<br>Муниципальный округ<br>Южное Медведково
18,837,37.71520851457386,55.76757963935204,ЮВАО<br>Муниципальный округ<br>Лефортово
19,881,37.31768941457653,55.58797203856042,Новомосковский<br>Поселение<br>Московский
21,927,37.39645166821192,55.79467303711967,СЗАО<br>Муниципальный округ<br>Строгино
22,962,37.52392061159077,55.64200392077385,ЮЗАО<br>Муниципальный округ<br>Коньково
23,985,37.56381865515909,55.75876855334783,ЦАО<br>Муниципальный округ<br>Пресненский
24,1015,37.48415811649417,55.77674988187083,СЗАО<br>Муниципальный округ<br>Хорошёво-Мнёвники
25,1030,37.77830523207258,55.67762302470753,ЮВАО<br>Муниципальный округ<br>Люблино
26,1040,37.57182525131864,55.78122136063352,САО<br>Муниципальный округ<br>Беговой
27,1048,37.50009593431707,55.70937894870372,ЗАО<br>Муниципальный округ<br>Раменки
28,1082,37.56396575924293,55.84859688013363,САО<br>Муниципальный округ<br>Тимирязевский
30,1163,37.43644647571698,55.71385399495743,ЗАО<br>Муниципальный округ<br>Можайский
31,1308,37.35716330923044,55.63743157936844,ЗАО<br>Муниципальный округ<br>Ново-Переделкино
32,1318,37.75521981724228,55.7944517946615,ВАО<br>Муниципальный округ<br>Измайлово
33,1367,37.57160304111743,55.65995149248626,ЮЗАО<br>Муниципальный округ<br>Черёмушки
34,1418,37.57952096645539,55.64647202510071,ЮЗАО<br>Муниципальный округ<br>Зюзино
35,1451,37.67579776697093,55.8619621110513,СВАО<br>Муниципальный округ<br>Бабушкинский
36,1523,37.71473969796044,55.68224217913465,ЮВАО<br>Муниципальный округ<br>Печатники
37,1532,37.50009538794087,55.48480040657157,Новомосковский<br>Поселение<br>Рязановское
38,1535,37.1556088497687,55.98287265311372,ЗелАО<br>Муниципальный округ<br>Крюково
39,1600,37.65105528689951,55.65987943036084,ЮАО<br>Муниципальный округ<br>Нагатино-Садовники
40,1671,37.75399356248771,55.60581086161854,ЮАО<br>Муниципальный округ<br>Орехово-Борисово Южное
41,1677,37.5320273339259,55.84411794813609,САО<br>Муниципальный округ<br>Головинский
44,1816,37.31814600574002,55.48915703370623,Троицкий<br>Городской округ<br>Троицк
46,1904,37.27101987941763,55.43068608528859,Троицкий<br>Поселение<br>Краснопахорское
47,1911,37.52397000455241,55.72285106062939,ЗАО<br>Муниципальный округ<br>Раменки
48,1915,37.55593049317543,55.81266959270037,САО<br>Муниципальный округ<br>Тимирязевский
49,2028,37.82622176351307,55.70445422787386,ЮВАО<br>Муниципальный округ<br>Выхино-Жулебино
50,2049,37.7151343234089,55.75410538286508,ЮВАО<br>Муниципальный округ<br>Лефортово
52,2219,37.48422517337228,55.61056439220335,"Новомосковский<br>Поселение<br>""Мосрентген"""
53,2243,37.42050676056797,55.72731915906864,ЗАО<br>Муниципальный округ<br>Кунцево
54,2306,37.4601916115809,55.8351328903277,СЗАО<br>Муниципальный округ<br>Покровское-Стрешнево
56,2421,37.23088263562136,55.52492959593938,Троицкий<br>Поселение<br>Первомайское
57,2430,37.19545308001208,56.00992531516599,ЗелАО<br>Муниципальный округ<br>Матушкино
59,2476,37.75480944495364,55.73157213191365,ЮВАО<br>Муниципальный округ<br>Нижегородский
60,2477,37.79515027077672,55.80334532906529,ВАО<br>Муниципальный округ<br>Северное Измайлово
61,2481,37.59523167721873,55.57459582879209,ЮАО<br>Муниципальный округ<br>Чертаново Южное
62,2484,37.50009589032257,55.69141296968629,ЗАО<br>Муниципальный округ<br>Раменки
63,2504,37.69190339207968,55.88888631078233,СВАО<br>Муниципальный округ<br>Лосиноостровский
64,2607,37.26225638950921,55.57440230660652,Новомосковский<br>Поселение<br>Марушкинское
65,2664,37.41271809573207,55.65095828536803,ЗАО<br>Муниципальный округ<br>Солнцево
66,2666,37.78651664153511,55.7135362874484,ЮВАО<br>Муниципальный округ<br>Рязанский
68,2714,37.58756371246381,55.6913817505238,ЮЗАО<br>Муниципальный округ<br>Академический
69,2718,37.56379666074626,55.74529419055922,ЗАО<br>Муниципальный округ<br>Дорогомилово
70,2761,37.45227667178441,55.78123307798955,СЗАО<br>Муниципальный округ<br>Хорошёво-Мнёвники
71,2783,37.50805398058125,55.72285313504019,ЗАО<br>Муниципальный округ<br>Раменки
73,2825,37.74605933748665,55.60582703506681,ЮАО<br>Муниципальный округ<br>Орехово-Борисово Южное
74,2841,37.85783307947359,55.6819085377679,ЮВАО<br>Муниципальный округ<br>Выхино-Жулебино
75,2847,37.67451141782822,55.57450861597873,ЮАО<br>Муниципальный округ<br>Бирюлёво Восточное
76,2851,37.58001617664064,55.8890098489666,СВАО<br>Муниципальный округ<br>Лианозово
77,2856,37.46054556446041,55.48479405054689,Новомосковский<br>Поселение<br>Рязановское
78,2882,37.47613420509713,55.86657670856719,САО<br>Муниципальный округ<br>Левобережный
79,2908,37.56391417815353,55.81715711506363,САО<br>Муниципальный округ<br>Тимирязевский
80,2943,37.6032185826796,55.59704727335917,ЮАО<br>Муниципальный округ<br>Чертаново Южное
82,3141,37.48416175916564,55.76776699832871,ЗАО<br>Муниципальный округ<br>Филёвский Парк
84,3192,37.32544063237883,55.62840744883562,Новомосковский<br>Поселение<br>Внуковское
86,3227,37.55548406844236,55.49826278455082,Новомосковский<br>Городской округ<br>Щербинка
87,3309,37.388337640129,55.84407145567496,СЗАО<br>Муниципальный округ<br>Митино
88,3346,37.64319206784774,55.68234646440215,ЮАО<br>Муниципальный округ<br>Нагатино-Садовники
89,3360,37.5080567548311,55.73632755545673,ЗАО<br>Муниципальный округ<br>Дорогомилово
90,3370,37.63567798151313,55.80811606268549,СВАО<br>Муниципальный округ<br>Останкинский
92,3414,37.52386058093946,55.54318929864703,ЮЗАО<br>Муниципальный округ<br>Южное Бутово
93,3450,37.44419760464674,55.85758362036862,СЗАО<br>Муниципальный округ<br>Северное Тушино
94,3562,37.47621100835568,55.74081698393303,ЗАО<br>Муниципальный округ<br>Фили-Давыдково
95,3587,37.60368096867476,55.77221574150727,ЦАО<br>Муниципальный округ<br>Тверской
96,3609,37.34124566553739,55.64639510692175,ЗАО<br>Муниципальный округ<br>Ново-Переделкино
97,3618,37.6511418271111,55.68233693635509,ЮАО<br>Муниципальный округ<br>Нагатино-Садовники
98,3630,37.53993645889823,55.77225297548178,САО<br>Муниципальный округ<br>Хорошёвский
99,3696,37.6359913048214,55.89794346866817,СВАО<br>Муниципальный округ<br>Бибирево
100,3707,37.57203252284653,55.8935061338264,СВАО<br>Муниципальный округ<br>Лианозово
102,3908,37.54792657448224,55.79021586526098,САО<br>Муниципальный округ<br>Хорошёвский
104,4005,37.65969603561877,55.83054429432082,СВАО<br>Муниципальный округ<br>Ростокино
105,4076,37.58776504097039,55.78121101581854,ЦАО<br>Муниципальный округ<br>Тверской
106,4098,37.62757044264084,55.76770182583446,ЦАО<br>Муниципальный округ<br>Мещанский
107,4174,37.60359760004707,55.74077561725368,ЦАО<br>Муниципальный округ<br>Хамовники
108,4176,37.65920106222086,55.70927577866477,ЮАО<br>Муниципальный округ<br>Даниловский
109,4188,37.53983118434012,55.66894895856989,ЮЗАО<br>Муниципальный округ<br>Ломоносовский
110,4211,37.65185609866191,55.86648535709036,СВАО<br>Муниципальный округ<br>Бабушкинский
111,4253,37.66790824800378,55.88443000249067,СВАО<br>Муниципальный округ<br>Северное Медведково
112,4267,37.50803462659432,55.62853136042798,ЮЗАО<br>Муниципальный округ<br>Тёплый Стан
114,4308,36.91603643443099,55.39806435715864,Троицкий<br>Поселение<br>Новофёдоровское
115,4351,37.63521131714651,55.67337247939612,ЮАО<br>Муниципальный округ<br>Нагатино-Садовники
116,4357,37.7078391932661,55.87987770285955,СВАО<br>Муниципальный округ<br>Лосиноостровский
117,4385,37.19132827757262,55.52034468049771,Троицкий<br>Поселение<br>Первомайское
120,4454,37.66785010921536,55.87095596604605,СВАО<br>Муниципальный округ<br>Бабушкинский
121,4461,37.4046436629446,55.70485044239732,ЗАО<br>Муниципальный округ<br>Можайский
122,4465,37.52389873821324,55.60607151590508,ЮЗАО<br>Муниципальный округ<br>Ясенево
125,4621,37.8112063692467,55.8167800663678,ВАО<br>Муниципальный округ<br>Гольяново
126,4769,37.50805028524297,55.70488719477974,ЗАО<br>Муниципальный округ<br>Раменки
127,4805,37.65093433388066,55.62843878647562,ЮАО<br>Муниципальный округ<br>Царицыно
